transaction_id,account_id,customer_id,transaction_date,posted_date,description,merchant_name,transaction_type,amount,status,reference_number,synthetic_notice
TXN-0000020,ACCT-000141,CUST-00141,2026-03-26,2026-03-28,Bill Pay - BrightFuel,BrightFuel,Bill Pay,-80.97,Posted,REF0000003860,Synthetic transaction
TXN-0000021,ACCT-000148,CUST-00148,2026-02-17,2026-02-19,Card Purchase - Oak & Main,Oak & Main,Card Purchase,-57.26,Posted,REF0000004053,Synthetic transaction
TXN-0000022,ACCT-000155,CUST-00155,2026-01-31,2026-01-31,ACH Debit - MedPlus Clinic,MedPlus Clinic,ACH Debit,-175.14,Posted,REF0000004246,Synthetic transaction
TXN-0000023,ACCT-000162,CUST-00162,2026-05-30,2026-05-30,Card Purchase - City Fitness,City Fitness,Card Purchase,-519.73,Posted,REF0000004439,Synthetic transaction
TXN-0000024,ACCT-000169,CUST-00169,2026-05-15,2026-05-15,POS - Harbor Insurance,Harbor Insurance,POS,-313.34,Posted,REF0000004632,Synthetic transaction
TXN-0000025,ACCT-000176,CUST-00176,2026-04-25,2026-04-25,ACH Debit - MedPlus Clinic,MedPlus Clinic,ACH Debit,-71.6,Posted,REF0000004825,Synthetic transaction
TXN-0000026,ACCT-000183,CUST-00183,2026-02-08,2026-02-08,ACH Credit - Bluebird Pharmacy,Bluebird Pharmacy,ACH Credit,117.42,Posted,REF0000005018,Synthetic transaction
TXN-0000027,ACCT-000190,CUST-00190,2026-04-25,2026-04-25,Card Purchase - TuitionPay,TuitionPay,Card Purchase,-398.16,Pending,REF0000005211,Synthetic transaction
TXN-0000028,ACCT-000197,CUST-00197,2026-04-23,2026-04-23,Transfer In - Bluebird Pharmacy,Bluebird Pharmacy,Transfer In,1699.75,Posted,REF0000005404,Synthetic transaction
TXN-0000029,ACCT-000204,CUST-00004,2026-03-08,2026-03-08,ACH Debit - Metro Grocery,Metro Grocery,ACH Debit,-97.7,Posted,REF0000005597,Synthetic transaction
TXN-0000030,ACCT-000211,CUST-00011,2026-03-27,2026-03-27,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-29.14,Pending,REF0000005790,Synthetic transaction
TXN-0000031,ACCT-000218,CUST-00018,2026-03-25,2026-03-25,Transfer In - FastShip,FastShip,Transfer In,2804.44,Posted,REF0000005983,Synthetic transaction
TXN-0000032,ACCT-000225,CUST-00025,2026-02-05,2026-02-05,ATM - StreamBox Media,StreamBox Media,ATM,-50.9,Posted,REF0000006176,Synthetic transaction
TXN-0000033,ACCT-000232,CUST-00032,2026-05-24,2026-05-24,POS - StreamBox Media,StreamBox Media,POS,-260.38,Posted,REF0000006369,Synthetic transaction
TXN-0000034,ACCT-000239,CUST-00039,2026-06-06,2026-06-08,Card Purchase - MedPlus Clinic,MedPlus Clinic,Card Purchase,-470.84,Posted,REF0000006562,Synthetic transaction
TXN-0000035,ACCT-000246,CUST-00046,2026-05-21,2026-05-21,POS - GreenLeaf Market,GreenLeaf Market,POS,-15.41,Posted,REF0000006755,Synthetic transaction
TXN-0000036,ACCT-000253,CUST-00053,2026-04-30,2026-04-30,ACH Debit - Northline Utilities,Northline Utilities,ACH Debit,-403,Posted,REF0000006948,Synthetic transaction
TXN-0000037,ACCT-000260,CUST-00060,2026-01-24,2026-01-24,ACH Debit - Bluebird Pharmacy,Bluebird Pharmacy,ACH Debit,-558.05,Posted,REF0000007141,Synthetic transaction
TXN-0000038,ACCT-000267,CUST-00067,2026-04-22,2026-04-22,ACH Debit - Oak & Main,Oak & Main,ACH Debit,-326.46,Posted,REF0000007334,Synthetic transaction
TXN-0000039,ACCT-000274,CUST-00074,2026-02-06,2026-02-08,ATM - Metro Grocery,Metro Grocery,ATM,-737.06,Posted,REF0000007527,Synthetic transaction
TXN-0000040,ACCT-000281,CUST-00081,2026-05-10,2026-05-10,ACH Credit - BrightFuel,BrightFuel,ACH Credit,2900.2,Posted,REF0000007720,Synthetic transaction
TXN-0000041,ACCT-000288,CUST-00088,2026-05-13,2026-05-13,Card Purchase - City Fitness,City Fitness,Card Purchase,-256.17,Pending,REF0000007913,Synthetic transaction
TXN-0000042,ACCT-000295,CUST-00095,2026-06-20,2026-06-20,Card Purchase - Oak & Main,Oak & Main,Card Purchase,-240.32,Posted,REF0000008106,Synthetic transaction
TXN-0000043,ACCT-000302,CUST-00102,2026-03-24,2026-03-26,Card Purchase - FastShip,FastShip,Card Purchase,-604.63,Posted,REF0000008299,Synthetic transaction
TXN-0000044,ACCT-000309,CUST-00109,2026-02-18,2026-02-18,Bill Pay - Metro Grocery,Metro Grocery,Bill Pay,-314.38,Posted,REF0000008492,Synthetic transaction
TXN-0000045,ACCT-000316,CUST-00116,2026-04-19,2026-04-19,Bill Pay - Bluebird Pharmacy,Bluebird Pharmacy,Bill Pay,-170.31,Posted,REF0000008685,Synthetic transaction
TXN-0000046,ACCT-000323,CUST-00123,2026-06-01,2026-06-03,Bill Pay - Bluebird Pharmacy,Bluebird Pharmacy,Bill Pay,-20.59,Posted,REF0000008878,Synthetic transaction
TXN-0000047,ACCT-000330,CUST-00130,2026-05-07,2026-05-09,Card Purchase - Atlas Wireless,Atlas Wireless,Card Purchase,-339.12,Posted,REF0000009071,Synthetic transaction
TXN-0000048,ACCT-000337,CUST-00137,2026-05-27,2026-05-27,ATM - Atlas Wireless,Atlas Wireless,ATM,-174.17,Posted,REF0000009264,Synthetic transaction
TXN-0000049,ACCT-000344,CUST-00144,2026-03-26,2026-03-28,ACH Debit - Corner Cafe,Corner Cafe,ACH Debit,-18.14,Posted,REF0000009457,Synthetic transaction
TXN-0000050,ACCT-000351,CUST-00151,2026-04-13,2026-04-13,Fee - Returned Item Fee,Returned Item Fee,Fee,-3.62,Posted,REF0000009650,Synthetic transaction
TXN-0000051,ACCT-000358,CUST-00158,2026-02-12,2026-02-14,Deposit - Atlas Wireless,Atlas Wireless,Deposit,963.66,Posted,REF0000009843,Synthetic transaction
TXN-0000052,ACCT-000365,CUST-00165,2026-06-09,2026-06-09,Transfer In - Harbor Insurance,Harbor Insurance,Transfer In,465.25,Pending,REF0000010036,Synthetic transaction
TXN-0000053,ACCT-000372,CUST-00172,2026-03-22,2026-03-22,ACH Debit - Metro Grocery,Metro Grocery,ACH Debit,-285.67,Posted,REF0000010229,Synthetic transaction
TXN-0000054,ACCT-000379,CUST-00179,2026-05-25,2026-05-25,ATM - Atlas Wireless,Atlas Wireless,ATM,-216.5,Posted,REF0000010422,Synthetic transaction
TXN-0000055,ACCT-000386,CUST-00186,2026-05-11,2026-05-11,Bill Pay - Harbor Insurance,Harbor Insurance,Bill Pay,-286.07,Posted,REF0000010615,Synthetic transaction
TXN-0000056,ACCT-000393,CUST-00193,2026-04-01,2026-04-01,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-8.39,Posted,REF0000010808,Synthetic transaction
TXN-0000057,ACCT-000400,CUST-00200,2026-04-12,2026-04-12,Card Purchase - FastShip,FastShip,Card Purchase,-399.17,Posted,REF0000011001,Synthetic transaction
TXN-0000058,ACCT-000007,CUST-00007,2026-05-20,2026-05-20,Refund - MedPlus Clinic,MedPlus Clinic,Refund,1850.38,Posted,REF0000011194,Synthetic transaction
TXN-0000059,ACCT-000014,CUST-00014,2026-04-26,2026-04-28,ATM - GreenLeaf Market,GreenLeaf Market,ATM,-763.19,Posted,REF0000011387,Synthetic transaction
TXN-0000060,ACCT-000021,CUST-00021,2026-06-06,2026-06-06,Card Purchase - Bluebird Pharmacy,Bluebird Pharmacy,Card Purchase,-181.39,Posted,REF0000011580,Synthetic transaction
TXN-0000061,ACCT-000028,CUST-00028,2026-02-22,2026-02-22,Bill Pay - Corner Cafe,Corner Cafe,Bill Pay,-708.13,Posted,REF0000011773,Synthetic transaction
TXN-0000062,ACCT-000035,CUST-00035,2026-03-13,2026-03-13,ACH Debit - Harbor Insurance,Harbor Insurance,ACH Debit,-615.49,Posted,REF0000011966,Synthetic transaction
TXN-0000063,ACCT-000042,CUST-00042,2026-02-12,2026-02-12,Transfer In - Northline Utilities,Northline Utilities,Transfer In,51.12,Posted,REF0000012159,Synthetic transaction
TXN-0000064,ACCT-000049,CUST-00049,2026-03-21,2026-03-21,ATM - Bluebird Pharmacy,Bluebird Pharmacy,ATM,-421.81,Posted,REF0000012352,Synthetic transaction
TXN-0000065,ACCT-000056,CUST-00056,2026-02-23,2026-02-23,Fee - Wire Fee,Wire Fee,Fee,-22.33,Posted,REF0000012545,Synthetic transaction
TXN-0000066,ACCT-000063,CUST-00063,2026-02-03,2026-02-03,Fee - Wire Fee,Wire Fee,Fee,-11.23,Posted,REF0000012738,Synthetic transaction
TXN-0000067,ACCT-000070,CUST-00070,2026-06-16,2026-06-16,Deposit - City Fitness,City Fitness,Deposit,1476.66,Posted,REF0000012931,Synthetic transaction
TXN-0000068,ACCT-000077,CUST-00077,2026-04-23,2026-04-23,ATM - BrightFuel,BrightFuel,ATM,-479.76,Posted,REF0000013124,Synthetic transaction
TXN-0000069,ACCT-000084,CUST-00084,2026-01-25,2026-01-27,Refund - StreamBox Media,StreamBox Media,Refund,1917.05,Posted,REF0000013317,Synthetic transaction
TXN-0000070,ACCT-000091,CUST-00091,2026-01-28,2026-01-28,Transfer In - BrightFuel,BrightFuel,Transfer In,3183.6,Posted,REF0000013510,Synthetic transaction
TXN-0000071,ACCT-000098,CUST-00098,2026-02-24,2026-02-24,Card Purchase - Harbor Insurance,Harbor Insurance,Card Purchase,-9.19,Posted,REF0000013703,Synthetic transaction
TXN-0000072,ACCT-000105,CUST-00105,2026-01-27,2026-01-27,Transfer In - City Fitness,City Fitness,Transfer In,2748.84,Posted,REF0000013896,Synthetic transaction
TXN-0000073,ACCT-000112,CUST-00112,2026-04-17,2026-04-17,Card Purchase - StreamBox Media,StreamBox Media,Card Purchase,-449.68,Posted,REF0000014089,Synthetic transaction
TXN-0000074,ACCT-000119,CUST-00119,2026-03-02,2026-03-02,ACH Debit - Corner Cafe,Corner Cafe,ACH Debit,-447.97,Posted,REF0000014282,Synthetic transaction
TXN-0000075,ACCT-000126,CUST-00126,2026-04-01,2026-04-03,Deposit - FastShip,FastShip,Deposit,81.93,Posted,REF0000014475,Synthetic transaction
TXN-0000076,ACCT-000133,CUST-00133,2026-01-29,2026-01-29,Bill Pay - RideNow Transit,RideNow Transit,Bill Pay,-352.69,Pending,REF0000014668,Synthetic transaction
TXN-0000077,ACCT-000140,CUST-00140,2026-05-01,2026-05-01,Transfer In - MedPlus Clinic,MedPlus Clinic,Transfer In,638.54,Posted,REF0000014861,Synthetic transaction
TXN-0000078,ACCT-000147,CUST-00147,2026-02-19,2026-02-19,ACH Debit - StreamBox Media,StreamBox Media,ACH Debit,-45.6,Posted,REF0000015054,Synthetic transaction
TXN-0000079,ACCT-000154,CUST-00154,2026-04-25,2026-04-25,Fee - Returned Item Fee,Returned Item Fee,Fee,-16.2,Posted,REF0000015247,Synthetic transaction
TXN-0000080,ACCT-000161,CUST-00161,2026-02-25,2026-02-25,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-21.74,Posted,REF0000015440,Synthetic transaction
TXN-0000081,ACCT-000168,CUST-00168,2026-05-25,2026-05-25,ATM - Oak & Main,Oak & Main,ATM,-393.07,Posted,REF0000015633,Synthetic transaction
TXN-0000082,ACCT-000175,CUST-00175,2026-04-11,2026-04-11,Deposit - Northline Utilities,Northline Utilities,Deposit,2470.6,Posted,REF0000015826,Synthetic transaction
TXN-0000083,ACCT-000182,CUST-00182,2026-04-15,2026-04-17,ACH Debit - BrightFuel,BrightFuel,ACH Debit,-616.3,Posted,REF0000016019,Synthetic transaction
TXN-0000084,ACCT-000189,CUST-00189,2026-05-18,2026-05-18,POS - Harbor Insurance,Harbor Insurance,POS,-96.72,Posted,REF0000016212,Synthetic transaction
TXN-0000085,ACCT-000196,CUST-00196,2026-02-05,2026-02-05,Bill Pay - TuitionPay,TuitionPay,Bill Pay,-376.25,Posted,REF0000016405,Synthetic transaction
TXN-0000086,ACCT-000203,CUST-00003,2026-06-13,2026-06-15,ACH Debit - RideNow Transit,RideNow Transit,ACH Debit,-481.27,Posted,REF0000016598,Synthetic transaction
TXN-0000087,ACCT-000210,CUST-00010,2026-05-02,2026-05-04,Fee - Wire Fee,Wire Fee,Fee,-18.08,Posted,REF0000016791,Synthetic transaction
TXN-0000088,ACCT-000217,CUST-00017,2026-06-13,2026-06-13,Fee - Overdraft Fee,Overdraft Fee,Fee,-20.2,Posted,REF0000016984,Synthetic transaction
TXN-0000089,ACCT-000224,CUST-00024,2026-02-26,2026-02-26,ACH Credit - Oak & Main,Oak & Main,ACH Credit,2001.79,Posted,REF0000017177,Synthetic transaction
TXN-0000090,ACCT-000231,CUST-00031,2026-05-06,2026-05-06,ACH Debit - Harbor Insurance,Harbor Insurance,ACH Debit,-95.85,Posted,REF0000017370,Synthetic transaction
TXN-0000091,ACCT-000238,CUST-00038,2026-06-03,2026-06-03,Deposit - Oak & Main,Oak & Main,Deposit,2900.56,Posted,REF0000017563,Synthetic transaction
TXN-0000092,ACCT-000245,CUST-00045,2026-05-29,2026-05-29,ACH Debit - GreenLeaf Market,GreenLeaf Market,ACH Debit,-184.23,Posted,REF0000017756,Synthetic transaction
TXN-0000093,ACCT-000252,CUST-00052,2026-03-13,2026-03-13,Card Purchase - RideNow Transit,RideNow Transit,Card Purchase,-612.83,Posted,REF0000017949,Synthetic transaction
TXN-0000094,ACCT-000259,CUST-00059,2026-02-16,2026-02-16,ATM - RideNow Transit,RideNow Transit,ATM,-337.09,Posted,REF0000018142,Synthetic transaction
TXN-0000095,ACCT-000266,CUST-00066,2026-05-16,2026-05-16,POS - RideNow Transit,RideNow Transit,POS,-255.02,Posted,REF0000018335,Synthetic transaction
TXN-0000096,ACCT-000273,CUST-00073,2026-01-25,2026-01-25,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-4.02,Posted,REF0000018528,Synthetic transaction
TXN-0000097,ACCT-000280,CUST-00080,2026-04-24,2026-04-24,ATM - FastShip,FastShip,ATM,-734.09,Posted,REF0000018721,Synthetic transaction
TXN-0000098,ACCT-000287,CUST-00087,2026-06-09,2026-06-09,POS - MedPlus Clinic,MedPlus Clinic,POS,-432.61,Posted,REF0000018914,Synthetic transaction
TXN-0000099,ACCT-000294,CUST-00094,2026-04-25,2026-04-25,Card Purchase - Metro Grocery,Metro Grocery,Card Purchase,-472.08,Posted,REF0000019107,Synthetic transaction
TXN-0000100,ACCT-000301,CUST-00101,2026-05-09,2026-05-09,Fee - Returned Item Fee,Returned Item Fee,Fee,-26.07,Posted,REF0000019300,Synthetic transaction
TXN-0000101,ACCT-000308,CUST-00108,2026-02-12,2026-02-12,POS - StreamBox Media,StreamBox Media,POS,-213.35,Posted,REF0000019493,Synthetic transaction
TXN-0000102,ACCT-000315,CUST-00115,2026-04-20,2026-04-22,Bill Pay - BrightFuel,BrightFuel,Bill Pay,-628.24,Posted,REF0000019686,Synthetic transaction
TXN-0000103,ACCT-000322,CUST-00122,2026-01-28,2026-01-28,ATM - Harbor Insurance,Harbor Insurance,ATM,-377.66,Posted,REF0000019879,Synthetic transaction
TXN-0000104,ACCT-000329,CUST-00129,2026-05-06,2026-05-06,Deposit - StreamBox Media,StreamBox Media,Deposit,368.34,Posted,REF0000020072,Synthetic transaction
TXN-0000105,ACCT-000336,CUST-00136,2026-04-21,2026-04-21,ACH Debit - GreenLeaf Market,GreenLeaf Market,ACH Debit,-658.33,Posted,REF0000020265,Synthetic transaction
TXN-0000106,ACCT-000343,CUST-00143,2026-06-03,2026-06-03,ATM - FastShip,FastShip,ATM,-442.35,Posted,REF0000020458,Synthetic transaction
TXN-0000107,ACCT-000350,CUST-00150,2026-06-12,2026-06-12,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-5.72,Posted,REF0000020651,Synthetic transaction
TXN-0000108,ACCT-000357,CUST-00157,2026-01-29,2026-01-29,ACH Credit - Harbor Insurance,Harbor Insurance,ACH Credit,3059.84,Posted,REF0000020844,Synthetic transaction
TXN-0000109,ACCT-000364,CUST-00164,2026-03-14,2026-03-14,Bill Pay - RideNow Transit,RideNow Transit,Bill Pay,-367.01,Posted,REF0000021037,Synthetic transaction
TXN-0000110,ACCT-000371,CUST-00171,2026-03-28,2026-03-28,POS - Northline Utilities,Northline Utilities,POS,-91.6,Posted,REF0000021230,Synthetic transaction
TXN-0000111,ACCT-000378,CUST-00178,2026-02-23,2026-02-23,ACH Debit - Harbor Insurance,Harbor Insurance,ACH Debit,-19.66,Posted,REF0000021423,Synthetic transaction
TXN-0000112,ACCT-000385,CUST-00185,2026-02-25,2026-02-25,Transfer In - Oak & Main,Oak & Main,Transfer In,930.96,Posted,REF0000021616,Synthetic transaction
TXN-0000113,ACCT-000392,CUST-00192,2026-04-11,2026-04-11,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-35.2,Posted,REF0000021809,Synthetic transaction
TXN-0000114,ACCT-000399,CUST-00199,2026-03-14,2026-03-14,ACH Credit - Harbor Insurance,Harbor Insurance,ACH Credit,2322.45,Pending,REF0000022002,Synthetic transaction
TXN-0000115,ACCT-000006,CUST-00006,2026-04-30,2026-05-02,Bill Pay - Bluebird Pharmacy,Bluebird Pharmacy,Bill Pay,-511.92,Posted,REF0000022195,Synthetic transaction
TXN-0000116,ACCT-000013,CUST-00013,2026-04-08,2026-04-08,Bill Pay - Harbor Insurance,Harbor Insurance,Bill Pay,-586.23,Posted,REF0000022388,Synthetic transaction
TXN-0000117,ACCT-000020,CUST-00020,2026-05-27,2026-05-29,Fee - Returned Item Fee,Returned Item Fee,Fee,-5.75,Posted,REF0000022581,Synthetic transaction
TXN-0000118,ACCT-000027,CUST-00027,2026-04-07,2026-04-07,Card Purchase - City Fitness,City Fitness,Card Purchase,-737.44,Pending,REF0000022774,Synthetic transaction
TXN-0000119,ACCT-000034,CUST-00034,2026-04-12,2026-04-12,Card Purchase - RideNow Transit,RideNow Transit,Card Purchase,-562.53,Posted,REF0000022967,Synthetic transaction
TXN-0000120,ACCT-000041,CUST-00041,2026-03-14,2026-03-14,ACH Credit - BrightFuel,BrightFuel,ACH Credit,2003.04,Posted,REF0000023160,Synthetic transaction
TXN-0000121,ACCT-000048,CUST-00048,2026-02-14,2026-02-14,Deposit - Metro Grocery,Metro Grocery,Deposit,848.69,Posted,REF0000023353,Synthetic transaction
TXN-0000122,ACCT-000055,CUST-00055,2026-02-23,2026-02-23,POS - Northline Utilities,Northline Utilities,POS,-762.6,Posted,REF0000023546,Synthetic transaction
TXN-0000123,ACCT-000062,CUST-00062,2026-02-07,2026-02-07,POS - TuitionPay,TuitionPay,POS,-680.05,Posted,REF0000023739,Synthetic transaction
TXN-0000124,ACCT-000069,CUST-00069,2026-03-31,2026-03-31,Bill Pay - Corner Cafe,Corner Cafe,Bill Pay,-184.08,Posted,REF0000023932,Synthetic transaction
TXN-0000125,ACCT-000076,CUST-00076,2026-03-15,2026-03-17,POS - TuitionPay,TuitionPay,POS,-100.03,Posted,REF0000024125,Synthetic transaction
TXN-0000126,ACCT-000083,CUST-00083,2026-04-29,2026-04-29,Bill Pay - GreenLeaf Market,GreenLeaf Market,Bill Pay,-645.71,Posted,REF0000024318,Synthetic transaction
TXN-0000127,ACCT-000090,CUST-00090,2026-01-24,2026-01-24,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-34.29,Posted,REF0000024511,Synthetic transaction
TXN-0000128,ACCT-000097,CUST-00097,2026-05-01,2026-05-01,Deposit - Atlas Wireless,Atlas Wireless,Deposit,2243.73,Posted,REF0000024704,Synthetic transaction
TXN-0000129,ACCT-000104,CUST-00104,2026-05-31,2026-06-02,Transfer In - Corner Cafe,Corner Cafe,Transfer In,2669.13,Pending,REF0000024897,Synthetic transaction
TXN-0000130,ACCT-000111,CUST-00111,2026-01-24,2026-01-24,Refund - Northline Utilities,Northline Utilities,Refund,1867.38,Posted,REF0000025090,Synthetic transaction
TXN-0000131,ACCT-000118,CUST-00118,2026-02-19,2026-02-19,Deposit - Oak & Main,Oak & Main,Deposit,25.43,Posted,REF0000025283,Synthetic transaction
TXN-0000132,ACCT-000125,CUST-00125,2026-04-21,2026-04-21,ATM - StreamBox Media,StreamBox Media,ATM,-355.57,Posted,REF0000025476,Synthetic transaction
TXN-0000133,ACCT-000132,CUST-00132,2026-05-21,2026-05-21,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-14.33,Posted,REF0000025669,Synthetic transaction
TXN-0000134,ACCT-000139,CUST-00139,2026-05-12,2026-05-12,ACH Debit - Bluebird Pharmacy,Bluebird Pharmacy,ACH Debit,-390.73,Posted,REF0000025862,Synthetic transaction
TXN-0000135,ACCT-000146,CUST-00146,2026-05-27,2026-05-27,Fee - Returned Item Fee,Returned Item Fee,Fee,-15.23,Posted,REF0000026055,Synthetic transaction
TXN-0000136,ACCT-000153,CUST-00153,2026-02-01,2026-02-01,ATM - Metro Grocery,Metro Grocery,ATM,-587.29,Posted,REF0000026248,Synthetic transaction
TXN-0000137,ACCT-000160,CUST-00160,2026-05-09,2026-05-09,Card Purchase - RideNow Transit,RideNow Transit,Card Purchase,-210.98,Posted,REF0000026441,Synthetic transaction
TXN-0000138,ACCT-000167,CUST-00167,2026-05-17,2026-05-17,ACH Credit - Atlas Wireless,Atlas Wireless,ACH Credit,111.51,Posted,REF0000026634,Synthetic transaction
TXN-0000139,ACCT-000174,CUST-00174,2026-04-19,2026-04-19,POS - MedPlus Clinic,MedPlus Clinic,POS,-306.46,Posted,REF0000026827,Synthetic transaction
TXN-0000140,ACCT-000181,CUST-00181,2026-04-13,2026-04-13,Transfer In - City Fitness,City Fitness,Transfer In,611.89,Posted,REF0000027020,Synthetic transaction
TXN-0000141,ACCT-000188,CUST-00188,2026-03-19,2026-03-19,Bill Pay - Harbor Insurance,Harbor Insurance,Bill Pay,-778.88,Posted,REF0000027213,Synthetic transaction
TXN-0000142,ACCT-000195,CUST-00195,2026-06-22,2026-06-22,ACH Debit - StreamBox Media,StreamBox Media,ACH Debit,-590.44,Posted,REF0000027406,Synthetic transaction
TXN-0000143,ACCT-000202,CUST-00002,2026-05-31,2026-05-31,ACH Debit - FastShip,FastShip,ACH Debit,-368.22,Posted,REF0000027599,Synthetic transaction
TXN-0000144,ACCT-000209,CUST-00009,2026-01-25,2026-01-25,ACH Debit - BrightFuel,BrightFuel,ACH Debit,-27.92,Posted,REF0000027792,Synthetic transaction
TXN-0000145,ACCT-000216,CUST-00016,2026-02-06,2026-02-06,Bill Pay - Metro Grocery,Metro Grocery,Bill Pay,-563.64,Posted,REF0000027985,Synthetic transaction
TXN-0000146,ACCT-000223,CUST-00023,2026-03-17,2026-03-19,Card Purchase - RideNow Transit,RideNow Transit,Card Purchase,-183.05,Posted,REF0000028178,Synthetic transaction
TXN-0000147,ACCT-000230,CUST-00030,2026-02-13,2026-02-13,ACH Credit - StreamBox Media,StreamBox Media,ACH Credit,2274.06,Posted,REF0000028371,Synthetic transaction
TXN-0000148,ACCT-000237,CUST-00037,2026-03-16,2026-03-16,POS - TuitionPay,TuitionPay,POS,-165.01,Posted,REF0000028564,Synthetic transaction
TXN-0000149,ACCT-000244,CUST-00044,2026-03-20,2026-03-20,Transfer In - MedPlus Clinic,MedPlus Clinic,Transfer In,3208.5,Posted,REF0000028757,Synthetic transaction
TXN-0000150,ACCT-000251,CUST-00051,2026-06-08,2026-06-08,Deposit - GreenLeaf Market,GreenLeaf Market,Deposit,2999.18,Posted,REF0000028950,Synthetic transaction
TXN-0000151,ACCT-000258,CUST-00058,2026-04-03,2026-04-03,ACH Debit - MedPlus Clinic,MedPlus Clinic,ACH Debit,-686.75,Posted,REF0000029143,Synthetic transaction
TXN-0000152,ACCT-000265,CUST-00065,2026-05-14,2026-05-14,ATM - Northline Utilities,Northline Utilities,ATM,-523.47,Posted,REF0000029336,Synthetic transaction
TXN-0000153,ACCT-000272,CUST-00072,2026-02-12,2026-02-12,Deposit - Corner Cafe,Corner Cafe,Deposit,1112.52,Posted,REF0000029529,Synthetic transaction
TXN-0000154,ACCT-000279,CUST-00079,2026-03-12,2026-03-12,POS - FastShip,FastShip,POS,-714.28,Posted,REF0000029722,Synthetic transaction
TXN-0000155,ACCT-000286,CUST-00086,2026-04-18,2026-04-18,POS - Atlas Wireless,Atlas Wireless,POS,-491.62,Posted,REF0000029915,Synthetic transaction
