article_id,category,title,audience,last_reviewed,summary,policy_keywords,source_system,synthetic_notice
KB-0011,card replacement,Debit Card Replacement Procedure Addendum,Frontline Agent,2026-05-16,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.",card replacement; Cards Operations; Card replacement initiated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0012,address change,Address Change Verification Standard Addendum,Frontline Agent,2026-05-13,Customer asks to update mailing or residential address.,address change; Customer Maintenance; Address update queued,KnowledgeBase-SYN,Synthetic knowledge article
KB-0013,payment not posted,Missing Payment Research Guide Addendum,Frontline Agent,2026-05-10,"Customer says a bill pay, loan, card, or deposit payment has not appeared.",payment not posted; Payments Research; Payment research opened,KnowledgeBase-SYN,Synthetic knowledge article
KB-0014,account access issue,Online Access Recovery Guide Addendum,Frontline Agent,2026-05-07,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.",account access issue; Digital Support; Access recovery completed,KnowledgeBase-SYN,Synthetic knowledge article
KB-0015,wire transfer question,Wire Transfer FAQ Addendum,Supervisor,2026-05-04,"Customer asks about wire status, cutoff, fees, limits, or required details.",wire transfer question; Wire Desk; Wire guidance provided,KnowledgeBase-SYN,Synthetic knowledge article
KB-0016,loan payoff question,Loan Payoff Quote Procedure Addendum,Frontline Agent,2026-05-01,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.",loan payoff question; Loan Servicing; Payoff instructions sent,KnowledgeBase-SYN,Synthetic knowledge article
KB-0017,dispute handoff,Reg E Dispute Intake Checklist Addendum,Frontline Agent,2026-04-28,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,dispute handoff; Disputes Intake; Dispute handoff completed,KnowledgeBase-SYN,Synthetic knowledge article
KB-0018,complaint escalation,Complaint Escalation Standard Addendum,Frontline Agent,2026-04-25,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.",complaint escalation; Executive Resolution; Complaint escalated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0019,overdraft fee reversal,Fee Reversal Playbook Addendum,Frontline Agent,2026-04-22,Customer requests an overdraft fee refund after a timing or courtesy issue.,overdraft fee reversal; Deposits Servicing; Fee decision documented,KnowledgeBase-SYN,Synthetic knowledge article
KB-0020,card replacement,Debit Card Replacement Procedure Addendum,Supervisor,2026-04-19,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.",card replacement; Cards Operations; Card replacement initiated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0021,address change,Address Change Verification Standard Addendum,Frontline Agent,2026-04-16,Customer asks to update mailing or residential address.,address change; Customer Maintenance; Address update queued,KnowledgeBase-SYN,Synthetic knowledge article
KB-0022,payment not posted,Missing Payment Research Guide Addendum,Frontline Agent,2026-04-13,"Customer says a bill pay, loan, card, or deposit payment has not appeared.",payment not posted; Payments Research; Payment research opened,KnowledgeBase-SYN,Synthetic knowledge article
KB-0023,account access issue,Online Access Recovery Guide Addendum,Frontline Agent,2026-04-10,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.",account access issue; Digital Support; Access recovery completed,KnowledgeBase-SYN,Synthetic knowledge article
KB-0024,wire transfer question,Wire Transfer FAQ Addendum,Frontline Agent,2026-04-07,"Customer asks about wire status, cutoff, fees, limits, or required details.",wire transfer question; Wire Desk; Wire guidance provided,KnowledgeBase-SYN,Synthetic knowledge article
KB-0025,loan payoff question,Loan Payoff Quote Procedure Addendum,Supervisor,2026-04-04,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.",loan payoff question; Loan Servicing; Payoff instructions sent,KnowledgeBase-SYN,Synthetic knowledge article
KB-0026,dispute handoff,Reg E Dispute Intake Checklist Addendum,Frontline Agent,2026-04-01,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,dispute handoff; Disputes Intake; Dispute handoff completed,KnowledgeBase-SYN,Synthetic knowledge article
KB-0027,complaint escalation,Complaint Escalation Standard Addendum,Frontline Agent,2026-03-29,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.",complaint escalation; Executive Resolution; Complaint escalated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0028,overdraft fee reversal,Fee Reversal Playbook Addendum,Frontline Agent,2026-03-26,Customer requests an overdraft fee refund after a timing or courtesy issue.,overdraft fee reversal; Deposits Servicing; Fee decision documented,KnowledgeBase-SYN,Synthetic knowledge article
KB-0029,card replacement,Debit Card Replacement Procedure Addendum,Frontline Agent,2026-03-23,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.",card replacement; Cards Operations; Card replacement initiated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0030,address change,Address Change Verification Standard Addendum,Supervisor,2026-03-20,Customer asks to update mailing or residential address.,address change; Customer Maintenance; Address update queued,KnowledgeBase-SYN,Synthetic knowledge article
